"","p_cntrl5062","p_cntrl8512","p_cntrl5029","p_cncr7136","p_cntrl2642","p_cncr2935","p_cntrl1116","p_cncr5626","p_cntrl1317","p_cncr3717","p_cntrl2476","p_cncr5310","p_cncr8118","p_cncr3092","p_cncr2842","p_cntrl9875","p_cncr9894","p_cncr6814","p_cncr5676","p_cncr1313","p_cntrl8815","p_cncr4019","p_cncr4932","p_cncr8502","p_cncr9042","p_cncr8563","p_cntrl3243","p_cncr1633","p_cncr3976","p_cncr8561"
"01001101001101110101",648141,13551,2332,84717,826380,17426,327672,77719,26133073,262,22,31,12033,1401,13874,395,168768,9141,54772,48,5308,1885,4198,11761,9357,82,1458,3378,658874,5364
"10100001101000101011",327972,450,596297,64928,18762,15337,14526,13223,93245,3598774,22974,14066582,16768,506077,282471,69262,9333216,1881845,117,179928,237,10063,28843,11965,12821,2209276,19195,35411,87369,34164
"00001111010000010100",9367,8329,1779334,193804,1554,30004,4568,54491,92580,858614,57997,730820,8230,226124,35477,971635,224314,33241352,101401,122359,3048661,130081,9261,88916,1438,2863,2431,120,1159454,2619194
"00100111010110100101",113918,40735,2439,277438,10408,7245,22275,511503,467215,81385,59648,3500,2961,13079,6367,39665,488689,460,431427,6976,206101,856,7181,20890,131290,213,13326,2216,204236,487775
"00111110010000000010",57347,17715,37874,126782,502738,3569,3818879,63,5,442,240269,3247,18320,10,2659968,1372576,2331270,8123,13,580559,2905373,2184800,7125721,435534,39126,23637,48453,1203595,72359,37433
"10111101100001111111",116087,1738,335,52777,185054,1674199,146796,78803,41729,2520,3828,137,473071,360818,1039081,27482,203945,13230,9249,27446,6540,53844,17185,835963,3181,4292,1977,2523,1306775,623
"11101111110011110011",16423,8149,1131,22608,309462,8,42426,6787,2086388,3129,439720,48804,197351,264743,12526,52,27627,977518,107183,359,62880,546479,4133,67822,318836,509,5197,347011,677716,312006
"11001101101111110101",126178,16200,5851,7295,37662,1753,4011903,36571,39451,3736,2288,1662,13321,28997,2185,802,2271,508,3633,274,473300,5,5882,161,13321,2896,22853,6361,1330514,110676
"00111010001101011001",67441,4990,4850,17063,7824199,1884,1217,34246,2394192,482503,574646,480129,2504,18074,15769,498269,4236,14062,5023,424703,180704,6794837,15226,801239,118171,231395,18089,335963,3687,22253
"01101111001001010100",42112,19864,83533,5650,214364,2626,325340,84963,25162,106908,64704,5309,1590848,19665,8697,240898,90691,129704,343151,10589,16821,7231,151693,4280,1379420,500424,54877,430375,3232163,333311
"00000011011011001101",3787073,152499,940380,324421,24740,10481,498256,6093160,241827,69640,18190,277245,12059,10271,15819,5597611,22712,1260440,707685,18258,35595,1531,5056,18517,55941,11858,6166304,30518,37815,9536
"11100111111011101111",44014,1110254,578418,168307,565271,872854,440647,59712,742880,97999,277925,1923191,51488,3606,2214,102284,568150,84,306273,58157,184440,4353,72591,3016,570611,45040,431,16161,85801,16050
"00111100000001011111",4702,1323,8171,115348,2601,414915,20393,52278,170133,18136,288,5581,4328,30977,19295,2772,31259,161051,140,689,34628,8411,257377,4767,6182,1955,440370,16917,3119574,875
"10000100000101110110",7669541,29926,1734,946,1216472,165665,189340,34051,15340,2714913,370839,868174,347344,21833,4403,281650,112491,1882115,7371,464018,40053,7287400,12171,219097,424691,424660,507952,18253,3398876,148502
"10100001101011010010",6729,307488,309649,1680,49266,15721,44672,447889,425542,758472,6679,1600969,369605,133024,790615,7427,891534,7271,39277,412011,329,2453,5256,114085,44960,7155,88918,251234,218494,15068
"00101111110001001001",950,127418,24966,437467,4241,10641,3461,6420,22268,110569,26702,18757,50643,1641159,1679,22229432,532048,61601,8686,60831,74153,9516431,163099,1688,731067,94188,1362,51000,128172,943368
"00001001111111111100",85150,13289,3473,36612,2420,925196,23426,396,20427,34589,900,1478,43048,158733,2442,13847,14508,3476,8903,32,148,221271,1051,107965,31135,96120,4177,33928,3531,11056
"10100011010111111100",184425,2535511,55950,2294,41808,6976,383317,632807,7178,11389,86183,23513,17809,3077923,8064,15630,345570,113301,59376,2833372,245435,130590,121447,1109576,739642,220825,23305,194695,60336,426797
"01010000010001101110",3172512,520174,3357,26511,95985,727,1631,11797,37849,39163,3559130,6266,30366,271978,2396,2343,145400,60178,38490,467829,121365,21802,2156645,3679698,15342,53117,95612,145328,22525,191916
"00001111011111111001",110988,59417,1191712,5711,3932,177626,3991,632773,420,95503,769518,628753,1048194,946332,1182454,15163,64883,92779,2381633,1474832,2913,5602,258007,20431,5384,271321,5097,1227,5906,19123
"10011001100111101010",6709,29785,45,8768,24264,836527,75612,520368,3788,528595,3161,7490,1364822,262252,25156,44,452,4072,384252,3741,13299,163,109797,14790,11427,192399,65,442,65820,471
"10011111101000100001",351759,5745,27013,2048867,13246,785,72051,3602,22901,22787,42251,944,44215,28556,2401,7931,37818,62823,531610,109,131342,35294,2230,30548,15201,23128,357699,225705,134688,256705
"01111010111100001001",12986,86646,34149,3134,50630,451551,133838,10103,19380,183634,117101,151112,7848915,11034,4306,120673,439400,60013,298048,6168,58524,3119,741,232184,57276,171274,3600546,17441,64915,10964734
"11110011010001010010",2,19723,588509,390433,13094,2575975,66792,299071,21035,439789,24120,70913,4918,19692,25470,27912,22327,10494,1478838,514,19592,107814,9706,1493061,1384493,124826,65313,37067,52086,157023
"11001010100000110001",578,11633,31978,16123,89045,60211,155264,53189,69810,23,97670,4631,1183,65606,13140,536215,40829,1840,156326,7882,26517,2,15391,1055383,155961,6377,31232,1011746,57701,447
"10010010111100000011",717185,4785207,2285230,9918,2090,187840,475521,266078,29446,11948,794604,188077,278717,237,499523,26438,958872,31490,2101,11,56017,59043,138254,2950,52438,29114,172203,6879,2237573,2295
"00001010101111010100",219467,13846,10180,2416,59976,81701,20825046,9673,6141,8852,1116166,70461,1700,371233,107796,3794375,5565,98579,69651,179653,329867,209722,2046,6808,28504,6765,22269,5353412,3454670,45505
